Hopper,Handshake,L1,L2
1.5130244578733132,1.2731742653768057,0.9313012928619975,2.0956124798656095
1.5935248664243555,1.2715606024004629,0.9894725203204418,2.1376575984748767
1.5032302835763247,1.2735166874417343,0.9219857494812236,2.083957873585411
1.4721170070841223,1.2752846618204838,0.8828301310621703,2.010643038030472
1.3722780025605141,1.2801421629918246,0.8442732244753195,2.0625079288151724
1.4804692329232094,1.2742411508099563,0.9996008107476402,2.2875659294922492
1.3557999390362463,1.2814620834494095,0.8330626520067395,2.0556273505724887
1.4825190195452993,1.2739716028829544,0.9298406588468238,2.134519780024504
1.5611675034454253,1.2720086080144417,0.9691860289660483,2.1289260745561442
1.4814499361276172,1.274209761256088,0.911660282168359,2.0874435011725074
1.415396519014328,1.2771866448839337,0.8759201883638121,2.0869457360926953
1.2404080329969995,1.2936784463170488,0.7680213392795496,2.056318874072848
1.2577493461559346,1.2922105258216463,0.7673528312987988,2.0161745347679947
1.5245669464210645,1.2727320377530928,0.9969183023760998,2.235450843769404
1.2278906200068473,1.2974093800600586,0.7431839526414691,1.983066815165745
1.4744100150877693,1.2745254307525045,0.9047533837695898,2.078321319650955
1.5747147366551157,1.2717399043714221,0.9990940916980441,2.1832448701246223
1.4248349027745848,1.2764457858408504,0.8973343753277245,2.131239140586456
1.5167892342393836,1.2728759823207993,0.9702119777177278,2.186918311487333
1.2299384156405593,1.2956102316811982,0.7557264929466644,2.033484174635765
1.5371224160425208,1.2723950267366297,0.9817555390565621,2.1886272444222987
1.474115867118617,1.2749491813577598,0.889799854944513,2.0316790190154723
1.5017627384556507,1.2738450059774709,0.9082518767516444,2.0446863138907796
1.3411555999945184,1.2848242570924486,0.8009678592907519,1.9568092826828718
1.2699299462939402,1.2910857283300832,0.7706733107643291,2.0008052407457853
1.3504835894017007,1.2823410011425709,0.8217006384281189,2.026142802512368
1.312656668000864,1.284830751653852,0.820132071007835,2.0906243841141325
1.5841876396909798,1.2716271021764667,0.9965085326182989,2.1660431835839393
1.555238928222188,1.2720651872365931,0.9757207802149179,2.1526018216211416
1.6330458437460453,1.2714427878008847,0.987920708406487,2.080882845816908
1.4501117755252464,1.2752872712511933,0.9066682789468472,2.1197824905532356
1.214829551965391,1.2982909804352492,0.7431087750751041,2.0178011657062935
1.366724598102559,1.2806885071959282,0.8377244313198515,2.051104973810493
